time,true,pre
260.0,733.0000108480453,531.0514546632767
260.0,724.0000197291374,532.3042982816696
260.0,811.9999900460243,529.0596925616264
261.0,806.0000131130219,535.6447345018387
261.0,743.0000238418579,542.968900680542
261.0,740.0000096559525,540.6293093562126
262.0,722.9999978542328,540.2302985191345
262.0,710.0000221133232,537.2496253252029
262.0,618.0000157356262,535.8894289135933
263.0,581.9999998211861,535.6082129478455
263.0,592.9999832510948,539.298381626606
263.0,585.0000140070915,540.8428318500519
263.0,569.0000240802765,537.5942653417587
264.0,573.9999791383743,542.2165052294731
264.0,656.9999943971634,544.2900550365448
264.0,651.0000174641609,539.5823752880096
265.0,625.0000145435333,540.1792197823524
265.0,623.9999926686287,542.5174222588539
265.0,642.9999967813492,539.5705958008766
266.0,637.9999902844429,538.7048292160034
266.0,651.9999879002571,543.9694883823395
266.0,672.9999843239784,533.0561279058456
266.0,688.0000038146973,531.8759158849716
267.0,628.999999165535,542.033434510231
267.0,768.0000048875809,543.3716151118279
267.0,783.9999948143959,536.2592739462852
268.0,620.000008046627,534.6199191212654
268.0,616.0000234246254,532.022876560688
268.0,686.0000115036964,533.8517833948135
269.0,702.0000014305115,535.1330726742744
269.0,721.9999759793282,524.7480916380882
269.0,641.0000044703484,522.7400234341621
269.0,594.9999755620956,526.6277685761452
270.0,573.0000087022781,534.0579501390457
270.0,618.9999861717224,532.5292916297913
270.0,667.9999778270721,528.217690706253
271.0,662.0000008940697,526.1386369466782
271.0,637.0000198483467,529.7563797831535
271.0,601.0000039339066,538.8166057467461
272.0,578.9999856352806,534.669660449028
272.0,620.9999784827232,528.2082259654999
272.0,611.0000169277191,527.0060495734215
272.0,543.9999915957451,530.9745022058487
273.0,554.9999750256538,530.644213616848
273.0,531.0000158548355,524.2137967348099
273.0,489.9999934434891,522.3380291461945
274.0,512.000011742115,526.1854462623596
274.0,568.0000022053719,529.2523308992386
274.0,564.9999880194664,526.9546622037888
275.0,616.0000234246254,521.9862905740738
275.0,668.9999997019768,527.1990479826927
275.0,616.0000234246254,528.0259268283844
275.0,686.0000115036964,524.0907036662102
276.0,714.0000067353249,525.0353259444237
276.0,754.9999777078629,529.1736295223236
276.0,684.9999896287918,529.9192350506783
277.0,750.9999930858612,531.0855585932732
277.0,660.0000085830688,532.6212127804756
277.0,625.9999849796295,538.4447031617165
278.0,689.0000256896019,541.1767211556435
278.0,792.0000154972076,540.6368708610535
278.0,768.0000048875809,543.1419922709465
278.0,736.0000250339508,545.2876592874527
279.0,726.9999824762344,544.6751259565353
279.0,686.0000115036964,537.7237882614136
279.0,653.0000097751617,537.1246804594994
280.0,637.9999902844429,537.0341995954514
280.0,679.0000126957893,536.010773062706
